Headline,Unnamed: 3,Unnamed: 4,Discretionary,Unnamed: 6,Unnamed: 7,Non-Discretionary,Unnamed: 9,Unnamed: 10
Date,"Seasonally adjusted
U.S. SMI","Non-Seasonally adjusted
U.S. SMI",Date,"Seasonally adjusted
U.S. SMI","Non-Seasonally adjusted
U.S. SMI",Date,"Seasonally adjusted
U.S. SMI","Non-Seasonally adjusted
U.S. SMI"
2014-01-01 00:00:00,98.7833899187606,99.16805852100407,2014-01-01 00:00:00,99.6279828198237,99.5953024915892,2014-01-01 00:00:00,100.7573922,100.757392196167
2014-02-01 00:00:00,100.211123518542,99.04683986645162,2014-02-01 00:00:00,101.613599221346,100.751781431388,2014-02-01 00:00:00,101.3688929,101.368892938422
2014-03-01 00:00:00,98.9463782712133,98.28927067623158,2014-03-01 00:00:00,99.392134117104,99.4470640807301,2014-03-01 00:00:00,100.032329795151,98.9785101620229
2014-04-01 00:00:00,100.795676863171,101.7173768688128,2014-04-01 00:00:00,100.342715476347,100.309572359422,2014-04-01 00:00:00,102.639626626593,103.732425976728
2014-05-01 00:00:00,100.49829479057,100.7112864408851,2014-05-01 00:00:00,99.3937514783627,99.3991981993402,2014-05-01 00:00:00,101.4972393,101.497239251665
2014-06-01 00:00:00,99.8007175212493,99.48044983182626,2014-06-01 00:00:00,99.1593207850881,99.1756609486064,2014-06-01 00:00:00,100.9002167,100.900216691875
2014-07-01 00:00:00,98.381603071148,98.0020888882674,2014-07-01 00:00:00,98.4353100698237,98.4026297363241,2014-07-01 00:00:00,100.1522957,100.152295657981
2014-08-01 00:00:00,98.056441475357,97.84977371294477,2014-08-01 00:00:00,98.6627015328406,98.8493816717768,2014-08-01 00:00:00,99.5374533493028,100.073603725128
2014-09-01 00:00:00,98.0566730952437,97.82897404695454,2014-09-01 00:00:00,99.3237028106103,99.158809558977,2014-09-01 00:00:00,99.9780697819856,99.4424312631312
2014-10-01 00:00:00,97.5996087275637,97.7843042675552,2014-10-01 00:00:00,98.4055267798237,98.3728464483591,2014-10-01 00:00:00,99.74914738,99.7491473812859
2014-11-01 00:00:00,98.1778602597426,97.625331806682,2014-11-01 00:00:00,101.317357416388,99.8745758725225,2014-11-01 00:00:00,99.4600816948754,99.5484846536213
2014-12-01 00:00:00,95.8798842757977,96.52990653462626,2014-12-01 00:00:00,96.062647787063,97.5272162176106,2014-12-01 00:00:00,101.037125226288,100.947400275921
2015-01-01 00:00:00,95.3766995432634,95.92659975565869,2015-01-01 00:00:00,100.227504178363,100.232950862606,2015-01-01 00:00:00,100.2642239,100.264223909911
2015-02-01 00:00:00,96.4824006699444,95.31813959430222,2015-02-01 00:00:00,100.365012071346,99.5031942467121,2015-02-01 00:00:00,99.61357177,99.613571770698
2015-03-01 00:00:00,96.1098786552579,95.87566919448909,2015-03-01 00:00:00,99.8045902413369,99.8065290306335,2015-03-01 00:00:00,100.231679937176,100.560121329014
2015-04-01 00:00:00,97.1464027797689,97.28743598897378,2015-04-01 00:00:00,100.476662453575,100.458383524693,2015-04-01 00:00:00,104.296445644241,103.955800984498
2015-05-01 00:00:00,97.6294334272778,97.48186289182762,2015-05-01 00:00:00,99.9557982869017,99.9993720641044,2015-05-01 00:00:00,103.5792241,103.579224088683
2015-06-01 00:00:00,98.724364393827,98.55900953172761,2015-06-01 00:00:00,100.594503286549,100.572716399566,2015-06-01 00:00:00,103.236964,103.236964019623
2015-07-01 00:00:00,97.7719118635297,97.61501899961591,2015-07-01 00:00:00,101.415695429824,101.383015131669,2015-07-01 00:00:00,99.43405512,99.4340551150148
2015-08-01 00:00:00,97.1902666059729,96.83900340026688,2015-08-01 00:00:00,100.148220015098,100.048658828669,2015-08-01 00:00:00,99.7141925727964,99.1798612167915
2015-09-01 00:00:00,95.7306144879832,95.82277510795862,2015-09-01 00:00:00,99.9889761983528,100.110324278932,2015-09-01 00:00:00,99.7149176315928,100.252131550845
2015-10-01 00:00:00,96.5998406893194,96.95003657855752,2015-10-01 00:00:00,100.935753878363,100.941200630903,2015-10-01 00:00:00,99.67535507,99.6753550668795
2015-11-01 00:00:00,97.1897056499133,97.09947025984447,2015-11-01 00:00:00,101.973914202907,101.334708113868,2015-11-01 00:00:00,98.4070810232108,98.4230674073164
2015-12-01 00:00:00,98.7321575495865,98.56219185041411,2015-12-01 00:00:00,100.161593162005,100.784459109279,2015-12-01 00:00:00,99.8277016047846,99.8114870715548
2016-01-01 00:00:00,99.0987813680546,99.28811079597551,2016-01-01 00:00:00,101.603943626902,101.647517431015,2016-01-01 00:00:00,98.92072944,98.9207294405843
2016-02-01 00:00:00,99.1989728957666,103.4465653136923,2016-02-01 00:00:00,102.235476579236,104.810036561311,2016-02-01 00:00:00,101.7949381,101.794938123593
2016-03-01 00:00:00,96.4087290251321,97.6206947103966,2016-03-01 00:00:00,100.98722958557,100.936177232073,2016-03-01 00:00:00,98.0117589713957,99.7055223180117
2016-04-01 00:00:00,100.086708883128,99.42417275096031,2016-04-01 00:00:00,101.691786979342,101.726499163114,2016-04-01 00:00:00,100.155569048672,98.4541604627235
2016-05-01 00:00:00,98.9195562810256,98.2843668287538,2016-05-01 00:00:00,101.280755378363,101.286202117014,2016-05-01 00:00:00,98.58473863,98.5847386302095
2016-06-01 00:00:00,98.5004724828213,98.63984672754464,2016-06-01 00:00:00,101.378628586549,101.356841722626,2016-06-01 00:00:00,99.77602336,99.7760233622763
2016-07-01 00:00:00,98.4477327096126,98.09558747400132,2016-07-01 00:00:00,101.442368926902,101.485942733296,2016-07-01 00:00:00,98.48505687,98.4850568730809
